id,text,label
128,"En_cuanto_a la fotografía , pues el director buscaba lo más simple y significativo .",C1
7815,Me gustan las peliculas de miedo .,A1
7540,"Si no cumplen con estos requisitos , nos veremos en la corte .",C1
18612,Tiene los ojos negros y grandes y el pelo largo .,A1
26130,Es un problema qué póne a todos a riesgo de los problemas de salud que el humo causa .,B2
14835,En china el ingrés en una programa obrigatorio .,B2
6536,"Hola chicos queridos ,",A2
46515,Margarita,A1
9057,"Me tarta mucho tiempo en el coche , en el tren .",A2
28130,"Normalmente corre , va a el gimnasio y escucha la música .",A2
13671,Mi padré empecó un negocia de plumero y fué exito .,A2
110,"Besos ,",A2
43888,¿ Cómo te encuentras ?,B1
6082,"Estoy trabajando en un proyecto histórico y la unica biblioteca histórica está cerrada , y tengo que acabar el proyecto hasta el 20_de_mayo y para lograr esto necesito",B1
21441,"Ahora te escribo con un correo electronico nuevo , puedes contactar me con eso .",B1
34307,¡ Esa es mi amiga !,A2
1557,"Me llamo Elizaveta , soy rusa y vivo en Moscú .",A2
13643,Y voy a graduar de mi universidad en dos años .,B2
43683,¿ Quires ir conmigo ?,A2
33252,Buenas Tardes !,A1
40627,¿ Qué tal con tu trabajo en el hospital ?,B1
109,"Mi abuela materna ( Alzira ) y mi madre son de Amazonas , ja mi padre , mi abuela paterna , mi hermano y yo somos de Pernambuco .",A1
20356,Esperando una pronta repuesta .,A2
7262,"También , quiero que me den un trabajo en su compañía .",B1
42816,"Julián no está solo con esta sentencia aterradora : su ex-mujer , Gloria ( Elvira_Mínguez ) también vive en la capital española , así_como su prima , Paula , ( interpretada por Dolores_Fonzi ) .",C1
41989,Hay oportunidades de tomar cursos en la noche ?,B2
28637,"Creo que fueron 5 cortes en total , lo que me causó muchos daños .",C1
843,"Los miembros de mi familia son mi padre , mi madre , mis dos hermanos y mi hermana .",A1
23208,"En primer lugar , mi secretaria no reservó el hotel .",B1
33491,¡ Querìa ir a Hawaii por mucho tiempo !,B1
5625,"Es que nunca he estado a España , estoy verde de las costumbres .",B1
31700,No vuelvo a casa hasta muy tarde .,A1
25607,"Melania tiene los ojos grises , una nariz recta y los labios gorditos .",A2
40808,"Para mí , nunca soporto a alguien que fume justamente al_lado mío porque no solo me molesta el olor de el humo , sino también me pongo nervioso ya_que me siento que a esta persona no le importo nada .",B2
36280,"Te echo mucho en menos y quiero saber su vida en Tokio poque es difícil tabajar en japonés , español y chino juntos .",B1
26357,Yo soy una persona que quiere reservar una habitación en su hotel .,A2
8976,"Mis intereses académicos incluyen la literatura moderna de España y Latinoamerica , la pintura española y las novelas de España .",B2
20322,Veo una pelicula con amigas .,A1
36266,"Me centraré en describir con brevedad  El_Havre  , pues creo que de  The_Artist  se hablará bastante más en las próximas semanas .",C1
25770,No sé donde mi otra amiga .,B1
32744,Todos fue tenido mucho divertido .,B1
18606,"En la universidad , ha mantenido notas altas en los clases muy dificiles y de nivel avanzado .",B2
40805,en lo que se refiere de la realizacion de la reserva ¿ cual+es cual+es el modo ?,A2
11897,Mi nombre es Maria_Inês_Sá y quiero reservar una habitación en vuestro hotel para un viaje de luna de miel .,A2
7725,Le gusta bailar y cantar .,A2
22997,Se llama Ira .,A2
2495,"Un día cuando comía en un restaurante en la plaza_mayor de Granada , conocí una estudiante de la universitad_de_Granada .",A2
32025,Los son mejores amigos .,A2
16403,Es su culpa y no les permitimos a continuar con esto comportamiento .,B2
23356,"Soy Yasmine_Lahlou , tengo veinticinco años y trabajo como profesora de francés en la ciudad de Madrid desde 2005 .",A1
39337,Voy a la casa son ocho en la noche !,A1
18868,"Me llamo Vinicius , soy brasileño , tengo 22 años y vivo en Porto_Alegre .",A1
37659,"Hola Giulio ,",A2
41403,Yo ainda estou a vivir em Nova_Iorque e trabajando para la misma agencia e estoy planejando una viajem de vacaciones para Espanha en el comenco de el ano e me gustaria de le encontrar com usted .,B1
18310,"Para venir de Francia y vivir en su país durante un año , sin beca , tendré mucha dificultad .",B2
1826,"En Berlin you estaba con mis amigos , yo visitaba muchas lugares de interes , iba a las tiendas para comprar las ropas y las artisarias .",A2
42456,"A mi me gusta mucho estar com mis amigos , salir por la noche para bailar y también ir a el cine , pués me encantan las pelìculas de Woody_Allen .",A1
37509,"Me encanté por Madrid y por a lengua española ya hace un año , quando conocí la ciudad con mis conpañeros de la universidad .",A1
26430,Pero cada día hay estudios con conclusiones diferentes .,B2
3910,"Hola Carla , como estás ?",B1
43760,Que tal tio ?,B1
42499,Hola Señor el director ;,A2
11547,Por eso deseo ser admitido en el programa de postgrado de lengua y literatura espanola de vostra universidad .,B2
42976,"La semana pasada ve una noticia de trabajar en Dubai , y envíe mi CV a este empresa que trabaja en educación , hoy he recibido el acepción para trabajar con ellos .",B1
41392,Objeto : Solicitud de admisión en el programa P:_G._L._A.,B2
15981,Todos los edificios y tienes muchas colores .,A2
14555,Estoy segura de que te gustaría este lugar .,A2
1671,"Nuestro grupo de españpl es muy bueno y muy alegro , gracias_a nuestra profesora , ella es muy activa , energica , simpatica y divertida .",A2
24121,"Pero Bangkok era muy ruidosa , porque habia muchas turistas extranjeras .",A2
33546,Siobhan aqui !,A1
29652,No me parece bien que muchos jovenes tienan ganas de fumar y particulamente las chicas .,B2
23068,Mucho ha cambiado en mi vida .,B1
12440,No soy muy grande ni delgada .,A1
5987,"Ademas , es un bueno musico y me gusta mucho le escuchar cuando juego la musica de el Paris antiguo .",A2
30071,Todos han sido muy amables con nosostra .,A2
29773,"Tengo treinta años , soy mediana , tengo cabellos castaños , ojos marrones y 60 kg .",A1
219,"- Tengo ojos oscuro , pello castañalla y larqo , delgada .",A1
19470,Tengo algunos preguntas sobre las caracterícticas de el programa .,B2
31443,Lo que mas gusta en mi trabaja es que conozco myu gente y hablo mucho sobre cosas diferentes .,A1
3702,"Hola , Carlos ,",A1
30124,"A la llegada de el vuelo como indicado arriba , mi equipaje fui perdido .",B1
44290,¿ Te guesta viviar allí ? ´,A2
9520,La compañía me prometió que me lo van recuperar despues_de un dia .,B1
31795,Admiro mi abuela porque es muy inteligente y trabajadora .,A2
2289,"Después_de llegar a el aeropuerto de Madrid , esperé mi equipaje al_aldo_de la cinta , pero no apareció .",B1
13365,El cielo tenia un color rosado .,B1
14302,"Mi madre se+llama se+llama Fatima y tiene cuarenta_y_cinco años , es una mujer de casa .",A1
15145,Yo entendi que mi novio no podra quedar se aqui y decidimos dejar Rusia y ir a el extranjero .,B1
15257,Buenos .,B1
38368,"Actualmente veo la necessidad de tener otros conocimentos , así me gustaría empezar el curso de postgrado de lengua y literatura española .",B2
2342,"Me madre es avocata y trabaja con causas civiles , me hermano trabaja con me padre en una empresa , mis hermanas hacen universidade también en Fortaleza y me padre , Leonidas , tiene una empresa .",A1
4884,"Ella nacío en 14_de_junio_de_1944 , en la ciudad de Palmares en pernambuco . hoy tiene 67 años .",A2
17511,Mi equipaje es negra no es larga ní pequeña .,B1
1786,"La verdad es que no tengo muchos casos interesantes en mi vida , por eso puedo escribir aquì mi momemto favorito desde un libro que se llama",B1
26590,Soy alta y tengo el pelo largo y rubio .,A1
5746,"Y además , me gustaría pedir un libro tuyo que se llama Economía para estudiar mi curso .",B1
37832,"Gracias por su ateção , espero pronto regreso",B2
10430,"Epero que me escribas pronto , Atentamente .",A2
9877,"He sido víctima de vuestra estafa , tengo derecho de denunciar lo y lo haré .",C1
17394,Me gusta llevar cosas bonitas y que me queda bien .,A1
